w1gq5,w1gq1,w1gq10,w1gq13,w1gq14,w1gq15,w1gq16,gndr,age,eisced,hinctnta,w1xq3,hincfel,cntry,w1weight,risk_score,cluster
4,5,10,1,2,1,1,NA,69,3,10,4,1,AT,0.0681135,1.0880911534142983,High
4,4,8,3,2,2,3,Male,76,3,10,4,1,AT,0.22287469,0.6908355603857214,High
4,5,8,3,2,2,1,Female,44,6,NA,4,2,AT,0.07363611,0.973950134985728,High
3,3,5,3,2,2,2,Female,58,5,5,4,2,AT,0.03281275,-0.49578358271705103,Low
2,1,7,5,2,4,5,Male,38,5,3,4,1,AT,0.043011725,-1.680164754348404,Low
3,4,3,2,1,1,2,Male,58,3,NA,3,1,AT,0.33019692,-0.32681002654561475,Mid
3,4,10,2,1,3,2,Female,68,2,7,4,1,AT,0.38228992,0.07268353795438197,Mid
4,5,10,3,2,1,1,Female,30,6,NA,5,2,AT,0.0464364,1.0880911534142983,High
4,4,10,2,1,2,2,Female,38,7,6,3,2,AT,0.019129943,0.8049765788142919,High
5,5,10,2,2,3,4,Female,23,4,8,1,3,AT,0.14808385,1.8203841942742083,High
3,3,5,3,2,2,2,Male,71,7,8,5,1,AT,0.043827835,-0.49578358271705103,Low
3,4,3,2,1,2,2,Male,54,5,7,4,1,AT,0.042095296,-0.32681002654561475,Mid
2,2,5,5,4,3,4,Male,69,3,5,1,2,AT,0.16658482,-1.511191198176968,Low
3,3,7,5,1,1,4,Female,59,4,7,1,2,AT,0.11281959,-0.3816425642884806,Low
3,2,3,4,3,3,4,Male,70,3,7,3,2,AT,0.12718043,-0.8930391757456283,Low
4,4,10,2,1,1,2,Male,51,NA,5,3,2,AT,0.15009342,0.8049765788142919,High
3,3,0,3,1,1,4,Female,42,3,5,5,2,AT,0.07406579,-0.7811361287884773,Low
3,3,6,4,1,2,3,Male,57,7,8,3,1,AT,0.21645726,-0.4387130735027658,Low
4,5,10,1,2,3,1,Female,50,5,6,1,1,AT,0.0354103,1.0880911534142983,High
3,2,10,1,4,2,3,Female,48,3,10,1,1,AT,0.07169597,-0.49354561124563157,Low
3,4,5,3,1,4,3,Male,30,3,7,5,2,AT,0.11440608,-0.21266900811704426,Mid
5,5,10,3,1,1,1,Female,44,7,8,3,1,AT,0.037995312,1.8203841942742083,High
4,4,10,4,2,2,2,Male,56,3,7,2,3,AT,0.18776506,0.8049765788142919,High
3,2,5,3,3,3,3,Female,31,3,3,3,3,AT,0.04592032,-0.7788981573170578,Low
2,4,10,NA,5,4,2,Female,61,5,3,4,2,AT,0.10103774,-0.659609502905528,Low
3,4,5,2,2,3,2,Male,47,4,10,2,1,AT,0.11208676,-0.21266900811704426,Mid
5,5,10,1,1,1,1,Male,37,7,9,3,2,AT,0.41596326,1.8203841942742083,High
3,2,4,3,2,3,4,Male,33,7,NA,3,2,AT,0.16420403,-0.835968666531343,Low
3,4,10,2,2,2,2,Female,50,5,5,3,1,AT,0.020977126,0.07268353795438197,Mid
3,3,6,4,2,3,3,Female,32,6,NA,4,1,AT,0.08404427,-0.4387130735027658,Low
3,3,6,2,2,1,2,Male,43,3,9,1,1,AT,0.09486311,-0.4387130735027658,Low
3,3,10,1,1,1,1,Female,34,5,6,2,1,AT,0.032711007,-0.21043103664562482,Mid
5,5,8,2,2,2,2,Male,59,7,10,4,1,AT,0.050018016,1.7062431758456378,High
2,4,2,5,4,3,4,Female,63,3,1,2,3,AT,0.048723098,-1.11617357661981,Low
4,3,10,3,1,1,2,Female,32,4,9,3,1,AT,0.07650048,0.5218620042142851,Mid
5,5,0,5,4,1,2,Female,64,5,3,2,2,AT,0.09346361,1.2496791021313558,High
3,3,5,4,2,3,4,Male,57,3,9,3,2,AT,0.09878944,-0.49578358271705103,Low
1,4,5,4,1,4,2,Male,21,4,3,3,2,AT,0.07559267,-1.6772550898368643,Low
2,1,2,4,4,3,4,Male,68,3,9,4,1,AT,0.038032066,-1.9655173004198303,Low
4,4,10,3,1,1,2,Female,55,5,9,2,1,AT,0.058849227,0.8049765788142919,High
3,3,8,4,1,2,3,Female,58,6,8,1,1,AT,0.033457737,-0.3245720550741953,Mid
4,4,5,4,2,3,1,Female,32,3,4,NA,2,AT,0.24218284,0.5196240327428656,Mid
2,1,3,4,2,NA,4,Female,35,3,8,2,1,AT,0.22695105,-1.9084467912055452,Low
3,4,6,2,1,2,2,Male,69,7,8,2,2,AT,0.08306356,-0.15559849890275898,Mid
3,4,3,4,2,4,4,Male,57,7,10,2,1,AT,0.31480068,-0.32681002654561475,Mid
4,4,8,3,2,2,3,Female,82,2,6,2,1,AT,0.19432944,0.6908355603857214,High
3,2,10,5,2,2,4,Male,74,3,7,3,1,AT,0.036737394,-0.49354561124563157,Low
4,4,9,1,2,2,3,Male,35,6,5,1,3,AT,0.2277079,0.7479060696000066,High
5,5,9,2,2,1,1,Female,21,4,5,4,2,AT,0.047280315,1.763313685059923,High
