country,year,ghg_tco2_pc,res_share_pc,gdp_const20_eur_pc,env_exp_pc_gdp
Austria,1990,100,NA,NA,NA
Austria,1991,104.6,NA,NA,NA
Austria,1992,96.4,NA,NA,NA
Austria,1993,96.8,NA,NA,NA
Austria,1994,97.1,NA,NA,NA
Austria,1995,101.2,NA,NA,NA
Austria,1996,105.2,NA,NA,NA
Austria,1997,104.7,NA,NA,NA
Austria,1998,103.9,NA,NA,NA
Austria,1999,101.9,NA,NA,NA
Austria,2000,102.2,NA,37880,NA
Austria,2001,107.1,NA,38230,NA
Austria,2002,109.3,NA,38610,NA
Austria,2003,116.1,NA,38880,NA
Austria,2004,115.8,22.553,39620,NA
Austria,2005,117.2,24.353,40270,NA
Austria,2006,114.2,26.276,41370,NA
Austria,2007,110.6,28.144,42790,NA
Austria,2008,109.9,28.788,43280,NA
Austria,2009,101.6,31.039,41620,NA
Austria,2010,107.3,31.205,42280,NA
Austria,2011,104.6,31.552,43370,NA
Austria,2012,101.1,32.734,43450,NA
Austria,2013,101.6,32.665,43080,NA
Austria,2014,97,33.55,43070,NA
Austria,2015,99.7,33.497,43200,NA
Austria,2016,100.9,33.37,43550,NA
Austria,2017,103.8,33.136,44260,NA
Austria,2018,99.8,33.784,45140,NA
Austria,2019,101.3,33.755,45730,NA
Austria,2020,93.8,36.545,42650,NA
Austria,2021,98.1,34.792,44520,NA
Austria,2022,92.3,34.075,46350,NA
Austria,2023,86.3,40.844,45510,NA
Austria,2024,NA,NA,44830,NA
Belgium,1990,100,NA,NA,NA
Belgium,1991,101.9,NA,NA,NA
Belgium,1992,101.5,NA,NA,NA
Belgium,1993,100.6,NA,NA,NA
Belgium,1994,103.8,NA,NA,NA
Belgium,1995,105.3,NA,NA,NA
Belgium,1996,107.7,NA,NA,NA
Belgium,1997,101.9,NA,NA,NA
Belgium,1998,105.5,NA,NA,NA
Belgium,1999,101.1,NA,NA,NA
Belgium,2000,101.9,NA,35370,NA
Belgium,2001,100.8,NA,35640,NA
Belgium,2002,100.9,NA,36080,NA
Belgium,2003,101.1,NA,36300,NA
Belgium,2004,101.7,1.916,37440,NA
Belgium,2005,99.6,2.325,38100,NA
Belgium,2006,97.8,2.658,38810,NA
Belgium,2007,95.3,3.14,39950,NA
Belgium,2008,95.3,3.611,39810,NA
Belgium,2009,86.6,4.746,38740,NA
Belgium,2010,91.5,6.004,39420,NA
Belgium,2011,84.4,6.302,39670,NA
Belgium,2012,82.5,7.086,39510,NA
Belgium,2013,82.6,7.671,39440,NA
Belgium,2014,78.6,8.038,39960,NA
Belgium,2015,81.5,8.06,40310,NA
Belgium,2016,80.5,8.744,40590,NA
Belgium,2017,80.1,9.136,41030,NA
Belgium,2018,80.6,9.472,41610,NA
Belgium,2019,79.9,9.929,42400,NA
Belgium,2020,73.4,13,40190,NA
Belgium,2021,75.4,13.076,42510,NA
Belgium,2022,70.7,13.816,43960,NA
Belgium,2023,67.4,14.741,44120,NA
Belgium,2024,NA,NA,44300,NA
Czechia,1990,100,NA,NA,NA
Czechia,1991,91.1,NA,NA,NA
Czechia,1992,88.1,NA,NA,NA
